Q#,Question,Your Answer,Correct,Result
1,Which sorting algorithm has the best average-case time complexity?,A,C,X
2,Which data structure uses LIFO (Last In First Out)?,A,B,X
3,Which layer of the OSI model is responsible for routing packets?,C,C,OK
4,Which of the following is a programming language?,A,A,OK
5,What does RAM stand for?,A,A,OK
6,What is 2^10 (2 to the power of 10)?,B,B,OK
7,What does SQL stand for?,A,A,OK
8,What does CPU stand for?,A,A,OK
9,Which protocol is used to send emails?,A,C,X
10,What is the binary representation of decimal 5?,A,A,OK
11,Which of the following is an operating system?,B,B,OK
12,Which device is used to input data into a computer?,C,C,OK
13,Which memory is temporary?,C,C,OK
14,Who invented the World Wide Web?,B,B,OK
15,Which technology is commonly used for real-time video communication?,C,C,OK
